file_name,timestamp,line_count,chunk_count,candidate_count,clone_count,avg_clone_size,chunkify_ms,candidate_lookup_ms,candidate_expansion_ms
SampleFile001.java,2024-01-01T12:01:00,126,45,42,6,6.10,0.828,0.705,0.457
SampleFile002.java,2024-01-01T12:02:00,128,45,49,7,6.35,0.842,0.701,0.364
SampleFile003.java,2024-01-01T12:03:00,127,45,50,7,6.11,0.820,0.830,0.429
SampleFile004.java,2024-01-01T12:04:00,124,44,47,7,8.36,0.871,0.686,0.481
SampleFile005.java,2024-01-01T12:05:00,128,45,46,6,7.11,0.822,0.833,0.330
SampleFile006.java,2024-01-01T12:06:00,130,46,42,6,7.44,0.844,0.713,0.319
SampleFile007.java,2024-01-01T12:07:00,132,46,49,7,6.50,0.902,0.711,0.379
SampleFile008.java,2024-01-01T12:08:00,137,47,51,7,9.54,0.856,0.743,0.334
SampleFile009.java,2024-01-01T12:09:00,138,47,45,6,9.09,0.919,0.846,0.483
SampleFile010.java,2024-01-01T12:10:00,136,47,46,6,7.81,0.903,0.713,0.381
SampleFile011.java,2024-01-01T12:11:00,141,48,47,7,8.81,0.898,0.699,0.447
SampleFile012.java,2024-01-01T12:12:00,141,48,46,6,6.65,0.868,0.878,0.438
SampleFile013.java,2024-01-01T12:13:00,142,48,46,6,8.74,0.914,0.835,0.356
SampleFile014.java,2024-01-01T12:14:00,136,47,47,7,7.60,0.827,0.868,0.433
SampleFile015.java,2024-01-01T12:15:00,142,48,46,6,8.62,0.870,0.863,0.402
SampleFile016.java,2024-01-01T12:16:00,143,48,45,6,6.99,0.886,0.728,0.427
SampleFile017.java,2024-01-01T12:17:00,149,49,50,7,7.45,0.940,0.728,0.419
SampleFile018.java,2024-01-01T12:18:00,142,48,44,6,6.61,0.846,0.806,0.429
SampleFile019.java,2024-01-01T12:19:00,149,49,50,7,8.38,0.887,0.750,0.431
SampleFile020.java,2024-01-01T12:20:00,145,49,54,8,8.88,0.908,0.827,0.383
SampleFile021.java,2024-01-01T12:21:00,156,51,50,7,6.45,0.903,0.791,0.511
SampleFile022.java,2024-01-01T12:22:00,152,50,53,7,9.05,0.901,0.736,0.445
SampleFile023.java,2024-01-01T12:23:00,159,51,53,7,8.44,0.875,0.868,0.428
SampleFile024.java,2024-01-01T12:24:00,159,51,45,6,8.40,0.909,0.697,0.383
SampleFile025.java,2024-01-01T12:25:00,156,51,48,7,6.23,0.948,0.879,0.337
SampleFile026.java,2024-01-01T12:26:00,161,52,47,7,9.91,0.923,0.710,0.452
SampleFile027.java,2024-01-01T12:27:00,163,52,48,7,7.06,0.957,0.775,0.362
SampleFile028.java,2024-01-01T12:28:00,165,53,50,7,8.85,0.920,0.834,0.395
SampleFile029.java,2024-01-01T12:29:00,166,53,54,8,6.48,0.902,0.788,0.448
SampleFile030.java,2024-01-01T12:30:00,163,52,55,8,6.88,0.877,0.851,0.376
SampleFile031.java,2024-01-01T12:31:00,161,52,51,7,6.28,0.894,0.839,0.363
SampleFile032.java,2024-01-01T12:32:00,165,53,56,8,8.30,0.904,0.825,0.411
SampleFile033.java,2024-01-01T12:33:00,165,53,48,7,8.64,0.915,0.772,0.493
SampleFile034.java,2024-01-01T12:34:00,166,53,57,8,8.61,0.945,0.747,0.476
SampleFile035.java,2024-01-01T12:35:00,168,53,50,7,6.77,0.934,0.728,0.357
SampleFile036.java,2024-01-01T12:36:00,176,55,52,7,9.50,0.908,0.872,0.491
SampleFile037.java,2024-01-01T12:37:00,171,54,48,7,8.61,0.944,0.693,0.339
SampleFile038.java,2024-01-01T12:38:00,175,55,51,7,7.63,0.948,0.878,0.500
SampleFile039.java,2024-01-01T12:39:00,175,55,55,8,6.01,0.939,0.910,0.487
SampleFile040.java,2024-01-01T12:40:00,179,55,55,8,8.79,0.973,0.882,0.462
SampleFile041.java,2024-01-01T12:41:00,183,56,51,7,6.76,0.932,0.717,0.467
SampleFile042.java,2024-01-01T12:42:00,178,55,54,8,6.23,0.958,0.821,0.501
SampleFile043.java,2024-01-01T12:43:00,181,56,49,7,9.84,0.918,0.732,0.439
SampleFile044.java,2024-01-01T12:44:00,191,58,54,8,7.62,1.024,0.834,0.446
SampleFile045.java,2024-01-01T12:45:00,182,56,58,8,6.33,0.976,0.853,0.393
SampleFile046.java,2024-01-01T12:46:00,188,57,53,7,8.68,0.951,0.768,0.346
SampleFile047.java,2024-01-01T12:47:00,195,59,56,8,7.83,1.033,0.917,0.332
SampleFile048.java,2024-01-01T12:48:00,196,59,61,9,9.98,0.947,0.798,0.393
SampleFile049.java,2024-01-01T12:49:00,193,58,52,7,9.52,0.967,0.742,0.487
SampleFile050.java,2024-01-01T12:50:00,194,58,60,9,9.94,1.011,0.856,0.474
SampleFile051.java,2024-01-01T12:51:00,199,59,56,8,9.73,0.950,0.906,0.383
SampleFile052.java,2024-01-01T12:52:00,194,58,59,8,6.62,0.958,0.787,0.399
SampleFile053.java,2024-01-01T12:53:00,204,60,63,9,9.41,1.001,0.815,0.522
SampleFile054.java,2024-01-01T12:54:00,196,59,53,7,8.54,1.023,0.724,0.387
SampleFile055.java,2024-01-01T12:55:00,199,59,62,9,9.92,0.956,0.848,0.481
SampleFile056.java,2024-01-01T12:56:00,207,61,53,7,6.45,1.055,0.853,0.350
SampleFile057.java,2024-01-01T12:57:00,200,60,58,8,8.33,0.965,0.765,0.392
SampleFile058.java,2024-01-01T12:58:00,202,60,58,8,6.84,0.975,0.761,0.486
SampleFile059.java,2024-01-01T12:59:00,209,61,62,9,9.00,1.053,0.807,0.373
SampleFile060.java,2024-01-01T13:00:00,207,61,59,8,6.10,1.034,0.811,0.516
SampleFile061.java,2024-01-01T13:01:00,216,63,58,8,7.07,1.059,0.762,0.504
SampleFile062.java,2024-01-01T13:02:00,215,63,58,8,6.80,1.072,0.810,0.494
SampleFile063.java,2024-01-01T13:03:00,212,62,57,8,6.09,0.989,0.801,0.503
SampleFile064.java,2024-01-01T13:04:00,215,63,60,9,8.57,1.020,0.946,0.447
SampleFile065.java,2024-01-01T13:05:00,212,62,55,8,9.51,0.996,0.841,0.527
SampleFile066.java,2024-01-01T13:06:00,214,62,55,8,8.39,1.005,0.882,0.417
SampleFile067.java,2024-01-01T13:07:00,223,64,57,8,7.54,1.048,0.786,0.472
SampleFile068.java,2024-01-01T13:08:00,217,63,63,9,9.70,1.034,0.909,0.488
SampleFile069.java,2024-01-01T13:09:00,228,65,60,9,7.46,1.007,0.883,0.406
SampleFile070.java,2024-01-01T13:10:00,225,65,67,10,9.39,1.072,0.845,0.412
SampleFile071.java,2024-01-01T13:11:00,227,65,62,9,7.61,1.030,0.785,0.424
SampleFile072.java,2024-01-01T13:12:00,229,65,67,10,8.99,1.017,0.899,0.431
SampleFile073.java,2024-01-01T13:13:00,224,64,60,9,7.15,1.033,0.866,0.471
SampleFile074.java,2024-01-01T13:14:00,233,66,64,9,7.77,1.031,0.865,0.520
